index,artist
1064,Michael Damian
1065,Michael Jackson
1066,Michael McDonald
1067,Michael Morales
1068,Michael Penn
1069,Michael Peterson
1070,Michael W. Smith
1073,Michelle Visage
1074,Michie Mee
1075,Mick Jagger
1076,Midi Maxi & Efti
1077,Midnight Oil
1078,Mike + The Mechanics
1079,Miki Howard
1080,Milestone
1081,Militia
1082,Milli Vanilli
1083,Mindy McCready
1084,Mint Condition
1085,Miranda
1086,Missjones
1089,Mista
1090,Mista Grimm
1091,Mitch Malloy
1092,Mo
1093,Mo B. Dick
1094,Mo Thugs Family
1095,MoKenStef
1099,Mocca Soul
1100,Mocha
1101,Modern English
1102,Mona Lisa
1105,Monie Love
1106,Monifah
1107,Mono
1108,Montell Jordan
1109,Montgomery Gentry
1110,Mopreme
1111,Morrissey
1112,Mos Def & Kweli Are Black Star
1113,Motley Crue
1114,Mr. Big
1115,Mr. President
1116,Mr. Short Khop
1117,Mr. Woods
1118,Ms. Adventures
1119,Ms. Toi
1120,Mulberry Lane
1124,Myron
1125,Mystikal
1126,N'Dea Davenport
1127,N-Trance
1128,N2Deep
1129,N2U
1130,NAS
1131,NKOTB
1132,Nadine Sutherland
1133,Nas
1134,Nastyboy Klick
1135,Natalie Cole
1136,Natalie Imbruglia
1137,Natalie Merchant
1138,Nate Dogg
1139,Nathan Morris
1140,Natural Selection
1141,Naughty By Nature
1142,Neal McCoy
1143,Nelson
1146,New Born
1147,New Edition
1148,New Kids On The Block
1149,New Order
1150,New Radicals
1151,Next
1152,Nia Peeples
1153,Nice & Smooth
1154,Nicki French
1155,Nicole
1156,Nicole Renee
1157,Nightcrawlers
1158,Nikeeta
1159,Niki Haris
1160,Nikki
1161,Nine
1162,Nine Inch Nails
1163,Nine Stories
1164,Nirvana
1165,No Doubt
1166,No Good But So Good
1167,No Mercy
1168,Nona Gaye
1169,Nonchalant
1170,Noreaga
1171,Notorious
1172,Nu Flavor
1175,Nuttin' Nyce
1176,Nyasia
1177,O'Dell
1178,O.C.
1179,O.G.C.
1180,Oaktown's 3.5.7
1181,Oasis
1182,Ol Skool
1186,Oleta Adams
1187,Olive
1188,Olivia Newton-John
1189,One 2 One
1190,Onyx
1191,Or-N-More
1192,Orgy
1195,Outkast
1196,Ovis
1197,Ozzy Osbourne
1198,P.M. Dawn
1199,PC Quest
1200,PMD
1201,PRINCE BE
1202,Pajama Party
1203,Paperboy
1204,Parliament Funkadelic
1205,Partners In Kryme
1206,Pat & Mick
1209,Patti LaBelle
1210,Patty Loveless
1211,Patty Smyth
